"state_dt","stock_code","acc","recall","f1","acc_neg","bz","predict"
"2019-08-13","600845.SH","0.25","0.0278","0.05","0.4167","SVM","-1"
"2019-08-14","000063.SZ","0.4706","0.75","0.5783","0.3846","SVM","1"
"2019-08-14","000977.SZ","0.375","0.0968","0.1538","0.5","SVM","-1"
"2019-08-14","600536.SH","0.3333","0.0645","0.1081","0.5","SVM","-1"
"2019-08-14","600588.SH","0.4359","0.5152","0.4722","0.36","SVM","1"
"2019-08-14","600845.SH","0.4","0.0541","0.0952","0.4068","SVM","1"
"2019-08-15","000063.SZ","0.4615","0.75","0.5714","0.3333","SVM","1"
"2019-08-15","000977.SZ","0.375","0.0938","0.15","0.4821","SVM","-1"
"2019-08-15","600536.SH","0.3333","0.0645","0.1081","0.5","SVM","-1"
"2019-08-15","600588.SH","0.45","0.5294","0.4865","0.3333","SVM","1"
"2019-08-15","600845.SH","0.3333","0.0541","0.093","0.3966","SVM","1"
"2019-08-16","000063.SZ","0.4615","0.7273","0.5647","0.25","SVM","-1"
"2019-08-16","000977.SZ","0.375","0.0938","0.15","0.4821","SVM","-1"
"2019-08-16","600536.SH","0.3333","0.0645","0.1081","0.5","SVM","-1"
"2019-08-16","600588.SH","0.4634","0.5588","0.5067","0.3478","SVM","1"
"2019-08-16","600845.SH","0.4286","0.0789","0.1333","0.386","SVM","1"
"2019-08-19","000063.SZ","0.4615","0.75","0.5714","0.3333","SVM","-1"
"2019-08-19","000977.SZ","0.375","0.0938","0.15","0.4821","SVM","-1"
"2019-08-19","600536.SH","0.2","0.0333","0.0571","0.5085","SVM","-1"
"2019-08-19","600588.SH","0.4524","0.5758","0.5067","0.3636","SVM","1"
"2019-08-19","600845.SH","0.375","0.0811","0.1333","0.3929","SVM","1"
"2019-08-20","000063.SZ","0.4615","0.75","0.5714","0.3333","SVM","-1"
"2019-08-20","000977.SZ","0.375","0.0938","0.15","0.4821","SVM","-1"
"2019-08-20","600536.SH","0","0","0","0","SVM","-1"
"2019-08-20","600588.SH","0.4419","0.5938","0.5067","0.381","SVM","1"
"2019-08-20","600845.SH","0.4444","0.1081","0.1739","0.4","SVM","1"
"2019-08-21","000063.SZ","0.4615","0.75","0.5714","0.3333","SVM","-1"
"2019-08-21","000977.SZ","0.375","0.0909","0.1463","0.4643","SVM","-1"
"2019-08-21","600536.SH","0","0","0","0","SVM","-1"
"2019-08-21","600588.SH","0.4545","0.6061","0.5195","0.35","SVM","1"
"2019-08-21","600845.SH","0.4","0.1081","0.1702","0.3889","SVM","1"
"2019-08-22","000063.SZ","0.4615","0.7742","0.5783","0.4167","SVM","-1"
"2019-08-22","000977.SZ","0.375","0.0882","0.1429","0.4464","SVM","-1"
"2019-08-22","600536.SH","0","0","0","0","SVM","-1"
"2019-08-22","600588.SH","0.4444","0.6061","0.5128","0.3158","SVM","1"
"2019-08-22","600845.SH","0.4545","0.1316","0.2041","0.3774","SVM","1"
"2019-08-23","000063.SZ","0.4615","0.8","0.5854","0.4545","SVM","-1"
"2019-08-23","000977.SZ","0.375","0.0909","0.1463","0.4545","SVM","-1"
"2019-08-23","600536.SH","0","0","0","0","SVM","-1"
"2019-08-23","600588.SH","0.4444","0.625","0.5195","0.3333","SVM","1"
"2019-08-23","600845.SH","0.4545","0.1351","0.2083","0.3846","SVM","1"
